Date,Text,Amount,Balance,Reconciled,AccountNumber,AccountName,MainCategory,Category,Comment
28/02/2025,Fonds 42604965,-577.044,5788.632,,2222,sapphire_invest2,Savings and investment,Securities,
28/02/2025,Fonds 42602626,-951.168,6365.676,,2222,sapphire_invest2,Savings and investment,Securities,
26/02/2025,From sapphire,6000,7316.844,,2222,sapphire_invest2,Income,Other income,
26/02/2025,From sapphire,1200,1316.844,,2222,sapphire_invest2,Income,Other income,
26/02/2025,Fonds 42573740,-572.436,116.844,,2222,sapphire_invest2,Savings and investment,Securities,
24/02/2025,From sapphire,600,689.28,,2222,sapphire_invest2,Income,Other income,
05/02/2025,Fonds 42169165,-1748.976,89.28,,2222,sapphire_invest2,Savings and investment,Securities,
05/02/2025,Fonds 42168863,-1314.276,1838.256,,2222,sapphire_invest2,Savings and investment,Securities,
05/02/2025,Fonds 42168049,-567.468,3152.532,,2222,sapphire_invest2,Savings and investment,Securities,
03/02/2025,From sapphire,3720,3720,,2222,sapphire_invest2,Income,Other income,
25/03/2025,LU1781541179,504.804,1993.62,,2222,sapphire_invest2,Income,Other income,
24/03/2025,Fonds 43044437,-375.528,1488.816,,2222,sapphire_invest2,Savings and investment,Securities,
21/03/2025,Fonds 43013797,-282.72,1864.344,,2222,sapphire_invest2,Savings and investment,Securities,
21/03/2025,Fonds 43013741,-880.944,2147.064,,2222,sapphire_invest2,Savings and investment,Securities,
21/03/2025,Fonds 43013151,-249.276,3028.008,,2222,sapphire_invest2,Savings and investment,Securities,
13/03/2025,Fonds 42879991,-275.592,3277.284,,2222,sapphire_invest2,Savings and investment,Securities,
12/03/2025,Fonds 42864097,-349.092,3552.876,,2222,sapphire_invest2,Savings and investment,Securities,
12/03/2025,Fonds 42863284,-126.84,3901.968,,2222,sapphire_invest2,Savings and investment,Securities,
12/03/2025,Fonds 42863137,-887.544,4028.808,,2222,sapphire_invest2,Savings and investment,Securities,
12/03/2025,Fonds 42863017,-501.732,4916.352,,2222,sapphire_invest2,Savings and investment,Securities,
12/03/2025,Fonds 42837682,-281.52,5418.084,,2222,sapphire_invest2,Savings and investment,Securities,
10/03/2025,Fonds 42795441,-360.552,5699.604,,2222,sapphire_invest2,Savings and investment,Securities,
07/03/2025,Fonds 42784935,-258.96,6060.156,,2222,sapphire_invest2,Savings and investment,Securities,
07/03/2025,Fonds 42782584,-909.6,6319.116,,2222,sapphire_invest2,Savings and investment,Securities,
06/03/2025,Fonds 42731934,-285.132,7228.716,,2222,sapphire_invest2,Savings and investment,Securities,
06/03/2025,Fonds 42715743,-1090.032,7513.848,,2222,sapphire_invest2,Savings and investment,Securities,
06/03/2025,Fonds 42715353,-643.116,8603.88,,2222,sapphire_invest2,Savings and investment,Securities,
06/03/2025,Fonds 42712725,-1873.404,9246.996,,2222,sapphire_invest2,Savings and investment,Securities,
06/03/2025,Fonds 42712325,-537,11120.4,,2222,sapphire_invest2,Savings and investment,Securities,
05/03/2025,From sapphire,6000,11657.4,,2222,sapphire_invest2,Income,Other income,
05/03/2025,Fonds 42679725,-131.232,5657.4,,2222,sapphire_invest2,Savings and investment,Securities,
