Type,Product,Started Date,Completed Date,Amount,Fee,Currency,State,Balance,sub_category
EXCHANGE,Current,04/07/2024 08:23,04/07/2024 08:23,19756.9125,0,CZK,COMPLETED,11783.92,Forwarding from accounts
TRANSFER,Current,04/07/2024 08:24,04/08/2024 08:30,-9750,0,CZK,COMPLETED,6783.92,Forwarding from accounts
EXCHANGE,Current,04/01/2024 18:53,04/01/2024 18:53,260.871,0,EUR,COMPLETED,253.01,Forwarding from accounts
TRANSFER,Current,04/01/2024 19:01,04/01/2024 19:01,-234,0,EUR,COMPLETED,133.01,Investment
TOPUP,Current,04/01/2024 18:31,04/01/2024 18:32,9750,0,DKK,COMPLETED,5438.52,Forwarding from accounts
EXCHANGE,Current,04/01/2024 18:46,04/01/2024 18:46,-475.1175,0,DKK,COMPLETED,5194.87,Forwarding from accounts
EXCHANGE,Current,04/01/2024 18:53,04/01/2024 18:53,-1950,0,DKK,COMPLETED,4194.87,Forwarding from accounts
EXCHANGE,Current,04/02/2024 20:14,04/02/2024 20:14,-585,0,DKK,COMPLETED,3894.87,Forwarding from accounts
EXCHANGE,Current,04/06/2024 09:24,04/06/2024 09:24,-808.9965,0,DKK,COMPLETED,3480,Forwarding from accounts
EXCHANGE,Current,04/07/2024 08:23,04/07/2024 08:23,-5850,0,DKK,COMPLETED,480,Forwarding from accounts
EXCHANGE,Current,04/01/2024 18:46,04/01/2024 18:46,68.25,0,USD,COMPLETED,45.81,Forwarding from accounts
TRANSFER,Current,04/01/2024 18:47,04/01/2024 18:47,-83.85,0,USD,COMPLETED,2.81,Investment
TRANSFER,Current,04/01/2024 19:12,04/01/2024 19:12,-1.95,0,USD,COMPLETED,1.81,Investment
EXCHANGE,Current,04/06/2024 09:24,04/06/2024 09:24,117,0,USD,COMPLETED,61.81,Forwarding from accounts
